product_id,product_name,route,country,holder
1,Abacavir Accord,Oral Use,Greece,Accord Healthcare S.L.U.
2,Abacavir+lamivudine Mylan Pharma,Oral Use,Greece,Mylan Pharmaceuticals Limited
3,Abelfiz,Oral Use,Greece,Pharmazac Sa
4,Abesyl,Oral Use,Greece,Medochemie Hellas Sa
5,Abinone,Oral Use,Greece,Innovis Pharma
6,Abiprostem,Oral Use,Greece,Demo Abee
7,Abiraterone Ariti,Oral Use,Greece,Ariti Sa
8,Abiraterone Faran,Oral Use,Greece,Faran S.A.
9,Abiraterone Pharmazac,Oral Use,Greece,Pharmazac Sa
10,Abiraterone Rafarm,Oral Use,Greece,Rafarm Sa.
11,Abiraterone Sandoz,Oral Use,Greece,Sandoz Pharmaceuticals D.D.
12,Abiraterone Stada,Oral Use,Greece,Stada Arzneimittel Ag
13,Abiraterone Teva,Oral Use,Greece,Teva B.V
14,Abiraterone Vocate,Oral Use,Greece,Vocate Φαρμακευτικη Αε
15,Aboxoma,Oral Use,Greece,"Krka, D.D., Novo Mesto"
16,Abrobion,Oral Use,Greece,Help Abee
17,Absken,Oral Use,Greece,Win Medica Sa
18,Abstral,Sublingual Use,Greece,Grünenthal Gmbh
19,Abszess-Ilon,Cutaneous Use,Greece,Accelere Pharm V Rousinos And Co G.P
20,Accusol 35,Haemodialysis,Greece,Ariti Sa
21,Accusol 35 Potassium,Haemodialysis,Greece,Ariti Sa
22,Accusol 35 Potassium,Haemodialysis,Greece,Ariti Sa
23,Accu-Thyrox,Oral Use,Greece,Galenica Sa
24,Aceclonac,Oral Use,Greece,Verisfield S.M.S.A
25,Acelopam,Oral Use,Greece,Pharma Therapis Single Member Pc
26,Acetazolamide Ι.Φ.Ε.Τ.,Oral Use,Greece,Institute Of Pharmaceutical Research And Technology Sa
27,Aciclovir Vocate,Intravenous Use,Greece,Vocate Φαρμακευτικη Αε
28,Acidwell,Oral Use,Greece,Sandoz Gmbh
29,Acifer,Oral Use,Greece,Galenica Sa
30,Acinic,Oral Use,Greece,Adelco Chromatourgia Athinon E Colocotronis Bros Sa
31,Aclonia,Oral Use,Greece,Pharmathen S.A.
32,Acmefront,Cutaneous Use,Greece,Verisfield S.M.S.A
33,Acnatac,Cutaneous Use,Greece,Viatris Healthcare Limited
34,Acne Hermal,Cutaneous Use,Greece,Galenica Sa
35,Acneryz-Cure,Cutaneous Use,Greece,Nassington Ltd
36,Acnesyn,Cutaneous Use,Greece,Syndesmos S.A. - Pharmaceutical Wholesalers
37,Acnevul,Cutaneous Use,Greece,Verisfield S.M.S.A
38,A-Cnotren,Oral Use,Greece,Pharmathen Investments Group Limited
39,Act-Hib,"Intramuscular Use ,Subcutaneous Use",Greece,Sanofi Winthrop Industrie
40,Actibon,Oral Use,Greece,Uni-Pharma Kleon Tsetis Pharmaceutical Laboratories S.A.
41,Actibon,Oral Use,Greece,Uni-Pharma Kleon Tsetis Pharmaceutical Laboratories S.A.
42,Actiker,Cutaneous Use,Greece,Verisfield S.M.S.A
43,Actilyse,Intravenous Use,Greece,Boehringer Ingelheim Hellas Single Member S.A.
44,Actilyse Cathflo,Intravenous Use,Greece,Boehringer Ingelheim Hellas Single Member S.A.
45,Actiq,Oromucosal Use,Greece,Teva Pharma B.V.
46,Actonel,Oral Use,Greece,Innovis Pharma
47,Actonel «2 Συνεχόμενεσ Ημέρεσ Το Μήνα»,Oral Use,Greece,Innovis Pharma
