ken_code,description,base_cost,avg_length_of_stay,daily_surcharge_rate,category_letter
Ε01Α,Μεταμόσχευση ήπατος,28907.00,26,226.42,Ε
Ε03Α,Μεταμόσχευση καρδιάς- πνευμόνων,50379.00,35,190.23,Ε
Ε04Α,Μεταμοσχεύσεις Πνευμόνων,30015.00,20,77.97,Ε
Ε05Α,Μεταμόσχευση Καρδιάς,34279.00,40,286.26,Ε
Ε06Μ,Τραχειοστομία με μηχανική υποστήριξη αναπνοής > 95 ώρες με καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,39863.00,47,222.75,Ε
Ε06Χα,Τραχειοστομία με μηχανική υποστήριξη αναπνοής > 95 ώρες χωρίς καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές ή τραχειοστομία/(ή)μηχανική υποστήριξη αναπνοής > 95 ώρες με καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,20597.00,25,87.26,Ε
Ε06Χβ,Μηχανική υποστήριξη αναπνοής > 95 ώρες χωρίς καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,15548.00,16,59.01,Ε
Ε06Χγ,Τραχειοστομία χωρίς καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,8261.00,15,142.30,Ε
Ε07Α,Αλλογενής μεταμόσχευση μυελού οστών,26508.00,34,188.13,Ε
Ε08Μ,Αυτόλογη μεταμόσχευση μυελού οστών με καταστροφικές συνυπάρχουσες παθήσεις- επιπλοκές,10017.00,24,157.45,Ε
Ε08Χ,Αυτόλογη μεταμόσχευση μυελού οστών χωρίς καταστροφικές συνυπάρχουσες παθήσεις- επιπλοκές,3683.00,10,60.46,Ε
Ε09Α,Μεταμόσχευση νεφρού+παγκρέατος,15346.00,16,141.16,Ε
Ε09Β,Μεταμόσχευση νεφρού χωρίς μεταμόσχευση παγκρέατος,9669.00,8,283.27,Ε
Ε09Γ,Μεταμόσχευση παγκρέατος,10706.00,15,293.05,Ε
Ε10Α,Εμφύτευση συσκευών κοιλιακής υποβοήθησης,94009.00,54,59.97,Ε
Ε11Μ,Τοποθέτηση εμφυτεύσιμων συσκευών έγχυσης σπονδυλικής στήλης με καταστροφικές συνυπάρχουσες παθήσεις- επιπλοκές,10704.00,15,139.45,Ε
Ε11Χ,Τοποθέτηση εμφυτεύσιμων συσκευών έγχυσης σπονδυλικής στήλης χωρίς καταστροφικές συνυπάρχουσες παθήσεις- επιπλοκές,5302.00,6,220.52,Ε
Ε12Α,Εμφύτευση συσκευής νευροδιέγερσης,6414.00,3,216.73,Ε
Ε13Α,Εξωσωματική συσκευή οξυγόνωσης ECMO,37063.00,31,138.42,Ε
Ν01Μ,Επανεπέμβαση κοιλιακής παροχεύτεσης με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές,2528.00,7,189.97,Ν
Ν01Χ,Επανεπέμβαση κοιλιακής παροχεύτεσης χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές,1980.00,5,268.68,Ν
Ν02Μα,Επεμβάσεις κρανίου με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,7730.00,18,293.46,Ν
Ν02Μβ,Επεμβάσεις κρανίου με σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,4721.00,11,237.37,Ν
Ν02Χ,Επεμβάσεις κρανίου χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,3836.00,7,281.44,Ν
Ν03Μ,Επεμβάσεις σπονδυλικής στήλης με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές,5914.00,15,109.18,Ν
Ν03Χ,Επεμβάσεις σπονδυλικής στήλης χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές,3990.00,5,90.63,Ν
Ν04Μ,Εξωκράνιες αγγειοχειρουργικές επεμβάσεις με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,4267.00,12,249.97,Ν
Ν04Χ,Εξωκράνιες αγγειοχειρουργικές επεμβάσεις χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,2470.00,4,94.26,Ν
Ν05Α,Αποσυμπίεση καρπιαίου σωλήνα,439.00,1,153.07,Ν
Ν06Μ,"Επεμβάσεις για παράλυση προσωπικού νεύρου, μυϊκή δυστροφία, νευροπάθεια με συνυπάρχουσες παθήσεις - επιπλοκές",3297.00,13,94.84,Ν
Ν06Χ,"Επεμβάσεις για παράλυση προσωπικού νεύρου, μυϊκή δυστροφία, νευροπάθεια χωρίς συνυπάρχουσες παθήσεις - επιπλοκές",969.00,2,281.12,Ν
Ν07Μ,Επεμβάσεις σε περιφερικά νεύρα και εγκεφαλικές συζυγίες και άλλες επεμβάσεις του νευρικού συστήματος με συνυπάρχουσες παθήσεις - επιπλοκές,2513.00,9,245.60,Ν
Ν07Χ,Επεμβάσεις σε περιφερικά νεύρα και εγκεφαλικές συζυγίες και άλλες επεμβάσεις του νευρικού συστήματος χωρίς συνυπάρχουσες παθήσεις - επιπλοκές,1110.00,2,152.93,Ν
Ν10Α,"Πλασμαφαίρεση με νευρολογική νόσο-συμμετοχή, την ίδια ημέρα",163.00,1,217.48,Ν
Ν11Α,Τηλεμετρικός έλεγχος-καταγραφή ηλεκτροεγκεφαλογραφήματος,1331.00,5,233.76,Ν
Ν12Μ,Διάγνωση νοσήματαoς νευρικού συστήματος με υποστήριξη αναπνευστήρα με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,5390.00,13,112.04,Ν
Ν12Χ,Διάγνωση νoσήματος νευρικού συστήματος με υποστήριξη αναπνευστήρα χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,3720.00,7,89.80,Ν
Ν20Μ,Οξεία εμφάνιση παραπληγίας/τετραπληγίας με ή χωρίς χειρουργικές επεμβάσεις με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,6919.00,25,225.32,Ν
Ν20Χ,Οξεία εμφάνιση παραπληγίας / τετραπληγίας με ή χωρίς χειρουργικές επεμβάσεις χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,2576.00,10,145.64,Ν
Ν21Μ,Καταστάσεις νωτιαίου μυελού με ή χωρίς χειρουργικές επεμβάσεις με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές,4960.00,16,59.68,Ν
Ν21Χ,Καταστάσεις νωτιαίου μυελού με ή χωρίς χειρουργικές επεμβάσεις χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές,1885.00,5,167.67,Ν
Ν22Α,Αφαίρεση- εξωσωματική θεραπεία αίματος,243.00,1,99.89,Ν
Ν23Α,Άνοια (ανοικτή συνδρομή) και άλλες χρόνιες δυσλειτουργίες της εγκεφαλικής λειτουργίας,2109.00,13,279.61,Ν
Ν24Μ,Παραλήρημα /Διέγερση με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,2389.00,13,137.41,Ν
Ν24Χ,Παραλήρημα /Διέγερση με /χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,1159.00,6,255.13,Ν
Ν25Α,Εγκεφαλική παράλυση,482.00,2,267.83,Ν
Ν26Μ,Νεοπλάσματα νευρικού συστήματος με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές,2062.00,9,105.73,Ν
Ν26Χ,Νεοπλάσματα νευρικού συστήματος χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές,872.00,4,215.01,Ν
Ν27Μα,Εκφυλιστικά νοσήματα-διαταραχές νευρικού συστήματος με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές,2529.00,13,149.62,Ν
Ν27Μβ,Εκφυλιστικά νοσήματα -διαταραχές νευρικού συστήματος με μεσαίας βαρύτητας συνυπάρχουσες παθήσεις – επιπλοκές,1307.00,8,119.65,Ν
Ν27Χ,Εκφυλιστικά νοσήματα (διαταραχές) νευρικού συστήματος χωρίς συνυπάρχουσες παθήσεις – επιπλοκές,482.00,3,67.36,Ν
Ν28Μ,Σκλήρυνση κατά πλάκας και παρεγκεφαλιδική αταξία με συνυπάρχουσες παθήσεις - επιπλοκές,1907.00,9,243.33,Ν
Ν68Χ,Σκλήρυνση κατά πλάκας και παρεγκεφαλιδική αταξία χωρίς συνυπάρχουσες παθήσεις - επιπλοκές,565.00,2,137.79,Ν
Ν29Μ,Παροδικό εγκεφαλικό ισχαιμικό επεισόδιο και προεγκεφαλιδική απόφραξη με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές,1230.00,6,177.35,Ν
Ν29Χ,Παροδικό ισχαιμικό επεισόδιο και προεγκεφαλιδική απόφραξη χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές,545.00,3,219.88,Ν
Ν30Α,"Αγγειακό εγκεφαλικό επεισόδιο και άλλες αγγειακές εγκεφαλικές δυσλειτουργίες, ασθενούς που κατέληξε ή διακοσμήθηκε σε <5ημέρες",420.00,2,260.92,Ν
Ν30Μα,Αγγειακό εγκεφαλικό επεισόδιο και άλλες αγγειακές εγκεφαλικές δυσλειτουργίες με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,3408.00,17,132.79,Ν
Ν30Μβ,Αγγειακό εγκεφαλικό επεισόδιο και άλλες αγγειακές εγκεφαλικές δυσλειτουργίες με σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,1860.00,9,56.90,Ν
Ν30Χ,Αγγειακό εγκεφαλικό επεισόδιο και άλλες αγγειακές εγκεφαλικές δυσλειτουργίες χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,1191.00,6,269.26,Ν
Ν31Μ,Δυσλειτουργίες κρανιακών ή περιφερικών νεύρων με συνυπάρχουσες παθήσεις - επιπλοκές,1510.00,7,115.30,Ν
Ν31Χ,Δυσλειτουργίες κρανιακών ή περιφερικών νεύρων χωρίς συνυπάρχουσες παθήσεις - επιπλοκές,280.00,2,195.15,Ν
Ν32Μ,Λοίμωξη νευρικού συστήματος εκτός από ιογενή μηνιγγίτιδα με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές,3175.00,14,295.89,Ν
Ν32Χ,Λοίμωξη νευρικού συστήματος εκτός από ιογενή μηνιγγίτιδα χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές,1183.00,5,59.56,Ν
Ν33Α,Ιογενής μηνιγγίτιδα,739.00,3,199.14,Ν
Ν34Μ,Μη τραυματικής αιτιολογίας βυθιότητα-λήθαργος και κώμα με συνυπάρχουσες παθήσεις – επιπλοκές,1012.00,5,136.42,Ν
Ν34Χ,Μη τραυματικής αιτιολογίας βυθιότητα-λήθαργος και κώμα χωρίς συνυπάρχουσες παθήσεις – επιπλοκές,374.00,2,246.61,Ν
Ν35Α,Πυρετικοί σπασμοί,350.00,1,159.10,Ν
Ν36Μ,Σπασμοί με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,1486.00,6,296.06,Ν
Ν36Χ,Σπασμοί χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,482.00,2,78.91,Ν
Ν37Α,Κεφαλαλγία,335.00,2,274.88,Ν
Ν38Μ,Ενδοκρανιακή (κρανιοεγκεφαλική) κάκωση με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές,2327.00,10,97.52,Ν
Ν38Χ,Ενδοκρανιακή (κρανιοεγκεφαλική) κάκωση χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές,879.00,4,61.10,Ν
Ν39Μ,Κατάγματα κρανίου με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές,1323.00,5,159.01,Ν
Ν39Χ,Κατάγματα κρανίου χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές,537.00,7,179.98,Ν
Ν40Α,Άλλες κακώσεις κεφαλής,272.00,1,251.63,Ν
Ν41Μ,Άλλες διαταραχές του νευρικού συστήματος με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές,1837.00,10,221.71,Ν
Ν41Χ,Άλλες διαταραχές του νευρικού συστήματος χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές,693.00,3,285.07,Ν
Ν42Μα,Χρόνια και μη διευκρινισμένη παραπληγία/ τετραπληγία με ή χωρίς χειρουργικές επεμβάσεις με καταστροφικές συνυπάρχουσες παθήσεις – επιπλοκές,5805.00,23,234.26,Ν
Ν82Μβ,Χρόνια και μη διευκρινισμένη παραπληγία/ τετραπληγία με ή χωρίς χειρουργικές επεμβάσεις με σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές,2475.00,11,99.26,Ν
Ν82Χ,Χρόνια και μη διευκρινισμένη παραπληγία/ τετραπληγία με ή χωρίς χειρουργικές επεμβάσεις χωρίς καταστροφικές/σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές,1416.00,6,157.82,Ν
Ο01Α,Επεμβάσεις για διατρηταίνοντες τραυματισμούς των οφθαλμών,1395.00,3,287.22,Ο
Ο02Α,Εκπυρήνωση-εξόρυξη και επεμβάσεις οφθαλμικού κόγχου,1611.00,3,280.19,Ο
Ο03Α,Επεμβάσεις αμφιβληστροειδούς,837.00,1,205.79,Ο
Ο04Α,"Σοβαρές επεμβάσεις κερατοειδούς, σκληρού και επιπεφυκότα",1356.00,3,215.85,Ο
Ο05Α,Ασκορυνοστομία,896.00,1,81.16,Ο
Ο10Α,Επεμβάσεις Στραβισμού,650.00,1,275.01,Ο
Ο11Α,Επεμβάσεις βλεφάρων,639.00,1,176.78,Ο
Ο12Α,"Λοιπές επεμβάσεις κερατοειδούς, σκληρού και επιπεφυκότα",583.00,1,216.72,Ο
Ο13Α,Επεμβάσεις δακρυϊκής συσκευής,336.00,1,131.55,Ο
Ο14Α,Λοιπές επεμβάσεις οφθαλμού,406.00,2,224.30,Ο
Ο15Α,Επεμβάσεις γλαυκώματος και περίπλοκες επεμβάσεις καταρράκτη,1026.00,2,188.60,Ο
Ο15Β,Επεμβάσεις γλαυκώματος και περίπλοκες επεμβάσεις καταρράκτη την ίδια μέρα,687.00,1,97.96,Ο
Ο16Α,Επεμβάσεις φακού (από καταράκτη κ.λπ.),592.00,1,216.23,Ο
Ο17Α,Μεταμοσχεύσεις Κερατοειδούς,2423.00,10,144.79,Ο
