shift_id,shift_date,shift_slot,shift_status,dept_id
1,2025-07-01,Morning,Completed,1
2,2025-07-01,Afternoon,Completed,1
3,2025-07-01,Night,Scheduled,1
4,2025-07-01,Morning,Scheduled,2
5,2025-07-01,Afternoon,Completed,2
6,2025-07-01,Night,Completed,2
7,2025-07-01,Morning,Completed,3
8,2025-07-01,Afternoon,Completed,3
9,2025-07-01,Night,Completed,3
10,2025-07-01,Morning,Completed,4
11,2025-07-01,Afternoon,Completed,4
12,2025-07-01,Night,Completed,4
13,2025-07-01,Morning,Scheduled,5
14,2025-07-01,Afternoon,Scheduled,5
15,2025-07-01,Night,Completed,5
16,2025-07-01,Morning,Completed,6
17,2025-07-01,Afternoon,Completed,6
18,2025-07-01,Night,Completed,6
19,2025-07-01,Morning,Completed,7
20,2025-07-01,Afternoon,Completed,7
21,2025-07-01,Night,Completed,7
22,2025-07-01,Morning,Completed,8
23,2025-07-01,Afternoon,Completed,8
24,2025-07-01,Night,Completed,8
25,2025-07-01,Morning,Scheduled,9
26,2025-07-01,Afternoon,Scheduled,9
27,2025-07-01,Night,Completed,9
28,2025-07-01,Morning,Scheduled,10
29,2025-07-01,Afternoon,Completed,10
30,2025-07-01,Night,Completed,10
31,2025-07-01,Morning,Completed,11
32,2025-07-01,Afternoon,Completed,11
33,2025-07-01,Night,Completed,11
34,2025-07-01,Morning,Scheduled,12
35,2025-07-01,Afternoon,Completed,12
36,2025-07-01,Night,Completed,12
37,2025-07-01,Morning,Completed,13
38,2025-07-01,Afternoon,Completed,13
39,2025-07-01,Night,Scheduled,13
40,2025-07-01,Morning,Completed,14
41,2025-07-01,Afternoon,Completed,14
42,2025-07-01,Night,Scheduled,14
43,2025-07-01,Morning,Completed,15
44,2025-07-01,Afternoon,Completed,15
45,2025-07-01,Night,Completed,15
46,2025-07-02,Morning,Completed,1
47,2025-07-02,Afternoon,Scheduled,1
48,2025-07-02,Night,Completed,1
49,2025-07-02,Morning,Completed,2
50,2025-07-02,Afternoon,Completed,2
51,2025-07-02,Night,Scheduled,2
52,2025-07-02,Morning,Completed,3
53,2025-07-02,Afternoon,Scheduled,3
54,2025-07-02,Night,Completed,3
55,2025-07-02,Morning,Completed,4
56,2025-07-02,Afternoon,Completed,4
57,2025-07-02,Night,Completed,4
58,2025-07-02,Morning,Completed,5
59,2025-07-02,Afternoon,Completed,5
60,2025-07-02,Night,Scheduled,5
61,2025-07-02,Morning,Completed,6
62,2025-07-02,Afternoon,Completed,6
63,2025-07-02,Night,Completed,6
64,2025-07-02,Morning,Scheduled,7
65,2025-07-02,Afternoon,Completed,7
66,2025-07-02,Night,Completed,7
67,2025-07-02,Morning,Completed,8
68,2025-07-02,Afternoon,Completed,8
69,2025-07-02,Night,Completed,8
70,2025-07-02,Morning,Completed,9
71,2025-07-02,Afternoon,Completed,9
72,2025-07-02,Night,Scheduled,9
73,2025-07-02,Morning,Completed,10
74,2025-07-02,Afternoon,Completed,10
75,2025-07-02,Night,Completed,10
76,2025-07-02,Morning,Completed,11
77,2025-07-02,Afternoon,Scheduled,11
78,2025-07-02,Night,Completed,11
79,2025-07-02,Morning,Completed,12
80,2025-07-02,Afternoon,Scheduled,12
81,2025-07-02,Night,Completed,12
