product_id,substance_name
1,Abacavir
2,Abacavir
2,Lamivudine
3,Aripiprazole
4,Amlodipine
5,Abiraterone Acetate
6,Abiraterone Acetate
7,Abiraterone Acetate
8,Abiraterone Acetate
9,Abiraterone Acetate
10,Abiraterone Acetate
11,Abiraterone Acetate
12,Abiraterone Acetate
13,Abiraterone Acetate
14,Abiraterone Acetate
15,Apixaban
16,Ambroxol Hydrochloride
17,Prucalopride
18,Fentanyl
19,Terebinthina Laricina
19,Terebinthinae Aetheroleum Rectificatum
20,Sodium Hydrogen Carbonate
20,Magnesium Chloride Hexahydrate
20,Sodium Chloride
20,Calcium Chloride Dihydrate
21,Glucose
21,Anhydrous
21,Sodium Hydrogen Carbonate
21,Magnesium Chloride Hexahydrate
21,Potassium Chloride
21,Sodium Chloride
21,Calcium Chloride Dihydrate
22,Glucose
22,Anhydrous
22,Sodium Hydrogen Carbonate
22,Magnesium Chloride Hexahydrate
22,Potassium Chloride
22,Sodium Chloride
22,Calcium Chloride Dihydrate
23,Levothyroxine Sodium
24,Aceclofenac
25,Citalopram Hydrochloride
26,Acetazolamide
27,Aciclovir
28,Pantoprazole
29,Ferrous Gluconate
30,Mefenamic Acid
31,Alendronic Acid
31,Colecalciferol
32,Erythromycin
32,Tretinoin
33,Clindamycin
33,Tretinoin
34,Erythromycin
35,Erythromycin
35,Zinc Acetate
36,Isotretinoin
37,Erythromycin
37,Zinc Acetate
38,Isotretinoin
39,Haemophilus Type B Conjugate Vaccine (Tetanus Toxoid Conjugate)
40,Alendronic Acid
40,Colecalciferol
41,Alendronic Acid
41,Colecalciferol
42,Fluorouracil
42,Salicylic Acid
43,Alteplase
44,Alteplase
45,Fentanyl
46,Risedronate Sodium
47,Risedronate Sodium
48,Risedronate Sodium
49,Risedronate Sodium
50,Ketorolac Trometamol
51,Adapalene
52,Adapalene
52,Anhydrous Benzoyl Peroxide
53,Colecalciferol
54,Salicylic Acid
55,Salicylic Acid
56,Sodium Molybdate Dihydrate
56,Zinc Chloride
56,Ferric Chloride Hexahydrate
56,Potassium Iodide
56,Sodium Fluoride
56,Chromium Chloride Hexahydrate
56,Copper Chloride Dihydrate
56,Manganese Chloride Tetrahydrate
56,Sodium Selenite Anhydrous
57,Ampicillin
58,Ampicillin
59,Prednisolone
60,Prednisolone Sodium Phosphate
61,Adenosine
62,Citalopram Hydrochloride
63,Lisinopril Dihydrate
64,Tamoxifen
65,Tamoxifen Citrate
66,Sitagliptin
67,Tenoxicam
68,Risperidone
69,Epinephrine Bitartrate
70,Epinephrine
71,Doxorubicin Hydrochloride
72,Tadalafil
73,Donepezil Hydrochloride
74,Methylprednisolone Aceponate
75,Ibuprofen
76,Ibuprofen
77,Salbutamol
78,Salbutamol Sulfate
79,Voriconazole
80,Voriconazole
81,Apremilast
82,Triflusal
83,Fluconazole
84,Fluconazole
85,Azelastine Hydrochloride
86,Tenofovir Disoproxil
87,Cetirizine Dihydrochloride
88,Tirofiban Hydrochloride Monohydrate
89,Ticagrelor
90,Brinzolamide
91,Mefenamic Acid
92,Rabeprazole Sodium
93,Biperiden Hydrochloride
94,Biperiden Lactate
95,Lorazepam
96,Nabumetone
97,Rivastigmine
98,Albendazole
99,Human Serum Albumin
100,Human Plasma Protein
101,Human Serum Albumin
102,Human Serum Albumin
103,Human Plasma Protein
104,Human Serum Albumin
105,Proxymetacaine Hydrochloride
106,Alfuzosin Hydrochloride
107,Spironolactone
108,Fluticasone Propionate
109,Fluticasone Propionate
110,Alfacalcidol
111,Omeprazole
112,Ceftazidime
113,Alfuzosin Hydrochloride
114,Alfuzosin Hydrochloride
115,Alfuzosin Hydrochloride
116,Pregabalin
117,Myrtecaine
117,Diethylamine Salicylate
118,Paracetamol
118,Caffeine
119,Paracetamol
120,Ibuprofen
121,Ibuprofen
122,Ibuprofen
123,Ibuprofen
123,Paracetamol
124,Ibuprofen Lysine
125,Paracetamol
125,Acetylsalicylic Acid
125,Caffeine
126,Mefenamic Acid
127,Tramadol Hydrochloride
127,Paracetamol
128,Betaine Citrate
129,Fexofenadine Hydrochloride
130,Fexofenadine Hydrochloride
131,Sodium Cromoglicate
132,Chlorphenamine Maleate
132,Sodium Cromoglicate
133,Botulinum Toxin Type A - Haemagglutinin Complex
134,Memantine Hydrochloride
135,Almotriptan
136,Olopatadine
137,Haloperidol
138,Haloperidol
139,Haloperidol Decanoate
140,Haloperidol Decanoate
141,Minoxidil
142,Celiprolol Hydrochloride
143,Alfacalcidol
144,Alfacalcidol
145,Brimonidine Tartrate
146,Alfacalcidol
147,Betamethasone Valerate
147,Fusidic Acid
148,Alprazolam
149,Alprazolam
150,Finasteride
151,Urofollitropin
152,Atorvastatin
153,Magnesium Hydroxide
153,Aluminium Hydroxide
154,Ciclesonide
155,Colecalciferol
155,Calcium
156,Valsartan
156,Amlodipine
157,Iron
158,Azithromycin
159,Flecainide Acetate
160,Ambrisentan
161,Amphotericin B
162,Ambrisentan
163,Ambrisentan
164,Dexamethasone
165,Bupivacaine Hydrochloride
165,Anhydrous
166,Amikacin
167,Amikacin
168,Amikacin
169,Amikacin Sulfate
170,Amikacin
171,Amikacin
172,Amlodipine
173,Levocarnitine
174,Levocarnitine Tartrate
175,Valine
175,Alanine
175,Arginine
175,Histidine
175,Isoleucine
175,Leucine
175,Methionine
175,Phenylalanine
175,Proline
175,Serine
175,Taurine
175,Threonine
175,Tyrosine
175,Acetic Acid
175,Glacial
175,Glycine
175,Tryptophan
175,Magnesium Chloride Hexahydrate
175,Potassium Hydroxide
175,Sodium Chloride
175,Zinc Chloride
175,Calcium Chloride Dihydrate
175,Glucose Monohydrate
175,Lysine Hydrochloride
175,Hydrochloric Acid 25%
175,Sodium Glycerophosphate Hydrate
176,Aminophylline
177,Bupivacaine Hydrochloride
177,Anhydrous
178,Amlodipine
179,Amlodipine Besilate
180,Amlodipine
181,Amlodipine
182,Valsartan
182,Amlodipine
183,Valsartan
183,Amlodipine
183,Hydrochlorothiazide
184,Valsartan
184,Amlodipine
184,Hydrochlorothiazide
185,Amlodipine
186,Amlodipine
187,Amlodipine
188,Amlodipine
189,Bisoprolol Fumarate
189,Amlodipine
190,Amoxicillin
191,Amoxicillin Trihydrate
192,Amphotericine B
192,Liposome
193,Ampicillin Sodium
194,Alendronate Sodium Trihydrate
195,Triclosan
196,Chloroprocaine Hydrochloride
197,Chloroprocaine Hydrochloride
198,Iron
199,Nandrolone Decanoate
200,Clomipramine Hydrochloride
201,Anagrelide
202,Anagrelide
203,Enalapril Maleate
204,Pravastatin Sodium
205,Epinephrine
206,Epinephrine
207,Terbinafine
208,Terbinafine Hydrochloride
209,Naproxen Sodium
210,Cefuroxime Sodium
211,Quetiapine
212,Glucosamine Sulfate
213,Anastrozole
214,Anastrozole
215,Anastrozole
216,Mirtazapine
217,Atorvastatin
217,Ezetimibe
218,Dabigatran Etexilate
219,Cyproterone Acetate
220,Cyproterone Acetate
221,Finasteride
222,Minoxidil
223,Olmesartan Medoxomil
223,Amlodipine
224,Galantamine Hydrobromide
225,Flumazenil
226,Etidronate Disodium
227,Amiodarone Hydrochloride
228,Amiodarone Hydrochloride
229,Misoprostol
230,Anidulafungin
231,Lacosamide
232,Cinchocaine Hydrochloride
232,Hydrocortisone
233,Glimepiride
234,Sodium Hydrogen Carbonate
235,Cefepime Hydrochloride
236,Simvastatin
237,Dexamethasone Sodium Phosphate
237,Neomycin Sulfate
238,Buspirone Hydrochloride
239,Butamirate Citrate
240,Betahistine Dihydrochloride
241,Linezolid
242,Atorvastatin
243,Atorvastatin
244,Nifedipine
244,Lidocaine Hydrochloride
245,Alfacalcidol
246,Ranitidine Hydrochloride
247,Amlodipine
247,Perindopril Arginine
248,Apixaban
249,Montelukast
250,Montelukast Sodium
251,Apixaban
252,Apixaban
253,Apixaban
254,Apixaban
255,Apixaban
256,Apixaban
257,Apixaban
258,Apixaban
259,Apixaban
260,Apixaban
261,Apixaban
262,Apixaban
263,Eplerenone
264,Apomorphine Hydrochloride Hemihydrate
265,Apomorphine Hydrochloride Hemihydrate
266,Apomorphine Hydrochloride Hemihydrate
267,Paracetamol
268,Paracetamol
269,Paracetamol
270,Paracetamol
271,Ascorbic Acid
271,Paracetamol
272,Chlorphenamine Maleate
272,Paracetamol
272,Pseudoephedrine Hydrochloride
272,Acetylcysteine
272,Paracetamol
273,Paracetamol
274,Paracetamol
274,Lidocaine Hydrochloride
275,Paracetamol
276,Paracetamol
276,Caffeine
277,Paracetamol
278,Ivabradine Hydrochloride
279,Pregabalin
280,Apremilast
281,Apremilast
282,Apremilast
283,Apremilast
284,Apremilast
285,Apremilast
286,Apremilast
287,Aprepitant
288,Ambroxol Hydrochloride
289,Amlodipine
289,Irbesartan
290,Salicylic Acid
291,Quetiapine
292,Cytarabine
293,Azelaic Acid
294,Etoricoxib
295,Teriflunomide
296,Quetiapine
297,Emtricitabine
297,Tenofovir Disoproxil Succinate
298,Donepezil Hydrochloride
299,Paricalcitol
300,Anastrozole
301,Donepezil Hydrochloride
302,Aripiprazole
303,Aripiprazole
304,Aripiprazole
305,Aripiprazole
306,Aripiprazole
307,Ciprofloxacin
308,Cinnarizine
308,Dimenhydrinate
309,Aceclofenac
310,Teriflunomide
311,Exemestane
312,Exemestane
313,Exemestane
314,Aripiprazole
315,Indapamide
315,Amlodipine Besilate
315,Perindopril Arginine
316,Aripiprazole
317,Diacerein
318,Alendronate Sodium Trihydrate
319,Diacerein
320,Sodium Hyaluronate
321,Hydroxocobalamin
322,Hydroxocobalamin
323,Tenoxicam
324,Atorvastatin
325,Atorvastatin
326,Triptorelin
327,Triptorelin
328,Triptorelin
329,Mesalazine
330,Mesalazine
331,Mesalazine
332,Rasagiline
333,Montelukast
334,Mometasone Furoate
335,Mometasone Furoate
336,Tenoxicam
337,Modafinil
338,Acetylsalicylic Acid
339,Acetylsalicylic Acid
340,Ascorbic Acid
340,Acetylsalicylic Acid
341,Omeprazole
342,Omeprazole
343,Itraconazole
344,Salbutamol Sulfate
345,Apremilast
346,Pravastatin Sodium
347,Glibenclamide
348,Candesartan Cilexetil
349,Hydrochlorothiazide
349,Candesartan Cilexetil
350,Atomoxetine Hydrochloride
351,Aprepitant
352,Hydroxyzine Hydrochloride
353,Montelukast
354,Montelukast Sodium
355,Ticagrelor
356,Tacrolimus Monohydrate
357,Atorvastatin
358,Atorvastatin
358,Ezetimibe
359,Atorvastatin
360,Atorvastatin
361,Atorvastatin
362,Atorvastatin
363,Atorvastatin
364,Atorvastatin
365,Atorvastatin
366,Atorvastatin
366,Ezetimibe
367,Atorvastatin
368,Atorvastatin Calcium Trihydrate
369,Atorvastatin
370,Atorvastatin
371,Atorvastatin
372,Atorvastatin Calcium Trihydrate
373,Atorvastatin Calcium Trihydrate
374,Atorvastatin Calcium Trihydrate
375,Atorvastatin
375,Ezetimibe
376,Atorvastatin
377,Somatostatin
378,Atovaquone
379,Atropine Sulfate
380,Atropine Sulfate
381,Atropine Sulfate Monohydrate
382,Atorvastatin
383,Atorvastatin
384,Ipratropium Bromide
385,Ipratropium Bromide Anhydrous
386,Atorvastatin
387,Amoxicillin
387,Clavulanic Acid
388,Amoxicillin
388,Clavulanic Acid
389,Amoxicillin
389,Clavulanic Acid
390,Amoxicillin
390,Clavulanic Acid
391,Budesonide
392,Budesonide
393,Alendronate Sodium Trihydrate
394,Meloxicam
395,Meloxicam
396,Valsartan
397,Algeldrate
397,Inactivated Hepatitis A Virus (Gbm Strain)
398,Algeldrate
398,Inactivated Hepatitis A Virus (Gbm Strain)
399,Moxifloxacin
400,Moxifloxacin
401,Dronabinol
401,Cannabidiol
402,Finasteride
403,Apixaban
404,Dutasteride
405,Anastrozole
406,Hyoscine Butylbromide
407,Amlodipine
408,Sitagliptin
409,Risedronate Sodium
410,Risperidone
411,Minoxidil
412,Budesonide
413,Glycopyrronium Bromide
414,Ibandronic Acid
415,Axitinib
416,Axitinib
417,Axitinib
418,Axitinib
419,Dexamethasone
420,Dexamethasone Phosphate
421,Azacitidine
422,Azacitidine
423,Cinnarizine
423,Dimenhydrinate
424,Azacitidine
425,Mirtazapine
426,Azathioprine
427,Azathioprine
428,Atenolol
429,Azelastine Hydrochloride
429,Fluticasone Propionate
430,Azelaic Acid
431,Azelastine Hydrochloride
431,Fluticasone Propionate
432,Azithromycin
433,Azacitidine
434,Azithromycin
435,Azithromycin
436,Azithromycin
437,Azithromycin
438,Azithromycin
439,Azithromycin
440,Azithromycin
441,Azithromycin
442,Azithromycin
443,Azithromycin Dihydrate
444,Fluticasone Propionate
444,Salmeterol
445,Fluconazole
446,Sildenafil Citrate
447,Azithromycin Dihydrate
448,Botulinum Toxin Type A - Haemagglutinin Complex
449,Fluconazole
450,Fluconazole
451,Sennae Folium
452,Baclofen
453,Sulfamethoxazole
453,Trimethoprim
454,Sulfamethoxazole
454,Trimethoprim
455,Mupirocin
456,Mupirocin Calcium
457,Mupirocin
458,Magnesium Chloride Hexahydrate
458,Sodium Chloride
458,Calcium Chloride Dihydrate
458,Glucose Monohydrate
458,Sodium (S)-Lactate Solution
459,Rivastigmine
460,Famotidine
461,Ranitidine Hydrochloride
462,Diclofenac Sodium
463,Mycobacterium Bovis
463,Danish Strain 1331
464,Mycobacterium Bovis
464,Danish Strain 1331
465,Thiamine Hydrochloride
465,Cyanocobalamin
465,Pyridoxine Hydrochloride
466,Thiamine Hydrochloride
466,Cyanocobalamin
466,Pyridoxine Hydrochloride
467,Beclometasone Dipropionate
467,Formoterol Fumarate Dihydrate
468,Beclometasone Dipropionate
468,Formoterol Fumarate Dihydrate
469,Beclometasone Dipropionate Anhydrous
470,Beclometasone Dipropionate Anhydrous
471,Omega-3-Acid Ethyl Esters 90
472,Deferiprone
473,Nimodipine
474,Sultamicillin Tosilate
475,Ampicillin
475,Sulbactam
476,Risperidone
477,Omeprazole
478,Omeprazole
479,Deoxycholic Acid
480,Gentamicin
480,Betamethasone
480,Clotrimazole
481,Benzydamine Hydrochloride
481,Cetylpyridinium Chloride Monohydrate
482,Bendamustine Hydrochloride
483,Bendamustine Hydrochloride
484,Minoxidil
485,Bendamustine Hydrochloride
486,Benzyl Benzoate
487,Omeprazole
488,Adapalene
488,Benzoyl Peroxide
489,Adapalene
489,Benzoyl Peroxide
490,Benzylpenicillin Sodium
491,Buspirone Hydrochloride
492,Buspirone Hydrochloride
493,C1 Esterase Inhibitor (Human)
494,C1 Esterase Inhibitor (Human)
495,Human Coagulation Factor Ix
495,Protein C
495,Human Coagulation Factor Vii
495,Protein S
495,Human Coagulation Factor Ii
495,Human Coagulation Factor X
496,Rabeprazole Sodium
497,Salbutamol Sulfate
497,Ipratropium Bromide Monohydrate
498,Irbesartan
499,Buspirone Hydrochloride
500,Crystalline Glucosamine Sulfate
501,Magnesium Aspartate Dihydrate
501,Magnesium Citrate
502,Betamethasone Valerate
502,Fusidic Acid
503,Povidone
503,Iodinated
504,Povidone
504,Iodinated
505,Povidone
505,Iodinated
506,Betamethasone Valerate
506,Fusidic Acid
507,Octenidine Dihydrochloride
507,Phenoxyethanol
508,Betahistine Dihydrochloride
509,Betamethasone Valerate
510,Betahistine Dihydrochloride
511,Betamethasone Valerate
511,Fusidic Acid
512,Betamethasone Valerate
513,Betaxolol Hydrochloride
514,Betaxolol Hydrochloride
515,Thiamine Hydrochloride
515,Cyanocobalamin
515,Pyridoxine Hydrochloride
516,Thiamine Hydrochloride
516,Cyanocobalamin
516,Pyridoxine Hydrochloride
517,Simvastatin
518,Azithromycin
519,Atorvastatin
519,Ezetimibe
520,Bicalutamide
521,Bicalutamide
522,Bicalutamide
523,Sodium Hydrogen Carbonate
523,Magnesium Chloride Hexahydrate
523,Sodium Chloride
523,Calcium Chloride Dihydrate
523,Glucose Monohydrate
524,Atorvastatin Calcium
525,Atorvastatin Calcium
526,Bicalutamide
527,Amlodipine Besilate
527,Candesartan Cilexetil
528,Bilastine
529,Bilastine
530,Bilastine Monohydrate
531,Bilastine
532,Bilastine
533,Azelastine Hydrochloride
533,Fluticasone Propionate
534,Bicalutamide
535,Bicalutamide
536,Bimatoprost
537,Sodium Hydrogen Carbonate
537,Potassium Chloride
537,Sodium Chloride
537,Macrogol 3350
538,Ranitidine
539,Ranitidine
540,Alendronic Acid
541,Amoxicillin Trihydrate
541,Potassium Clavulanate
542,Amoxicillin
542,Clavulanic Acid
543,Aceclofenac
544,Diosmin
544,Hesperidin
545,Amikacin Sulfate
546,Phenylephrine Hydrochloride
547,Phenylephrine Hydrochloride
548,Budesonide
549,Budesonide
550,Paclitaxel
551,Magnesium
551,Sodium Ion
551,Chloride Ion
551,Hydrogen Phosphate
551,Hydrogen Carbonate
551,Potassium Ion
552,Bimatoprost
553,Timolol Maleate
553,Bimatoprost
554,Bismuth Oxide
555,Dry Extract Of Marshmallow Root (Der 7-9:1)
555,Extraction Solvent Water
555,Dry Extract Of Thyme (7-13:1)
555,Extraction Solvent: Water
556,Bromhexine Hydrochloride
557,Benzocaine
557,Cetylpyridinium Chloride
558,Nebivolol
559,Ciprofloxacin Hydrochloride Monohydrate
560,Estriol
561,Brinzolamide
561,Timolol
562,Bisoprolol Hemifumarate
563,Clopidogrel
564,Rivaroxaban
565,Olanzapine
566,Sildenafil
567,Sildenafil
568,Magnesium Aspartate Dihydrate
568,Magnesium Citrate
569,Fluticasone Propionate
570,Bosentan
571,Clostridium Botulinum Neurotoxin Type A (150kd)
571,Free Of Complexing Proteins
572,Calcium Carbonate
573,Colecalciferol
573,Calcium
574,Colecalciferol
574,Calcium
575,Ulipristal Acetate
576,Loratadine
577,Loratadine
578,Teriparatide
579,Risedronate Sodium
580,Risedronate Sodium
581,Medronate Tetrasodium
582,Zoledronic Acid Monohydrate
583,Aluminium Phosphate
583,Diphtheria Toxoid Adsorbed On Aluminium Hydroxide
583,Hydrated And Aluminium Phosphate
583,Tetanus Toxoid Adsorbed On Aluminium Hydroxide
583,Hydrated And Aluminium Phosphate
583,Pertussis Toxoid Adsorbed On Aluminium Hydroxide
583,Hydrated And Aluminium Phosphate
583,Pertussis Pertactin Adsorbed On Aluminium Hydroxide
583,Hydrated And Aluminium Phosphate
583,Pertussis Filamentous Haemagglutinin On Aluminium Hydroxide
583,Hydrated And Aluminium Phosphate
583,Algeldrate
584,Aluminium Phosphate
584,Diphtheria Toxoid Adsorbed On Aluminium Hydroxide
584,Hydrated And Aluminium Phosphate
584,Tetanus Toxoid Adsorbed On Aluminium Hydroxide
584,Hydrated And Aluminium Phosphate
584,Pertussis Toxoid Adsorbed On Aluminium Hydroxide
584,Hydrated And Aluminium Phosphate
584,Pertussis Pertactin Adsorbed On Aluminium Hydroxide
584,Hydrated And Aluminium Phosphate
584,Pertussis Filamentous Haemagglutinin On Aluminium Hydroxide
584,Hydrated And Aluminium Phosphate
584,Poliovirus (Inactivated) Type 1 (Mahoney Strain) Produced On Vero Cells
584,Poliovirus (Inactivated) Type 2 (Mef-1 Strain) Produced On Vero Cells
584,Poliovirus (Inactivated) Type 3 (Saukett Strain) Produced On Vero Cells
584,Algeldrate
585,Aluminium Phosphate
585,Diphtheria Toxoid Adsorbed On Aluminium Hydroxide
585,Hydrated And Aluminium Phosphate
585,Tetanus Toxoid Adsorbed On Aluminium Hydroxide
585,Hydrated And Aluminium Phosphate
585,Pertussis Toxoid Adsorbed On Aluminium Hydroxide
585,Hydrated And Aluminium Phosphate
585,Pertussis Pertactin Adsorbed On Aluminium Hydroxide
585,Hydrated And Aluminium Phosphate
585,Pertussis Filamentous Haemagglutinin On Aluminium Hydroxide
585,Hydrated And Aluminium Phosphate
585,Poliovirus (Inactivated) Type 3 (Saukett Strain)
585,Poliovirus (Inactivated) Type 2 (Mef-1 Strain)
585,Poliovirus (Inactivated) Type 1 (Mahoney Strain)
585,Algeldrate
586,Bortezomib
587,Bortezomib
588,Bortezomib
589,Bortezomib
590,Bortezomib
591,Ketoconazole
592,Minoxidil
593,Bortezomib
594,Bortezomib
595,Botulinum Toxin Type A
596,Linagliptin
597,Butamirate Citrate
598,Tobramycin
599,Metformin Hydrochloride
599,Sitagliptin
600,Serrapeptase
601,Ivabradine Hydrochloride
602,Beclometasone Dipropionate
602,Formoterol Fumarate Dihydrate
603,Beclometasone Dipropionate
603,Formoterol Fumarate Dihydrate
604,Ceftriaxone Sodium
605,Ceftriaxone Sodium
606,Ceftriaxone Sodium
607,Esmolol Hydrochloride
608,Esmolol Hydrochloride
609,Piroxicam Betadex
610,Piroxicam Betadex
611,Pregabalin
612,Amikacin
613,Brimonidine Tartrate
614,Brimonidine Tartrate
615,Brimonidine Tartrate
616,Timolol Maleate
616,Brimonidine Tartrate
617,Bimatoprost
618,Brivaracetam
619,Brivaracetam
620,Brivaracetam
621,Brivudine
622,Salbutamol
623,Dapagliflozin
624,Fluid Extract From Ivy Leaves (1:1)
624,Extracting Agent: Ethanol 70% (V/V)
624,Liquid Extract From Thyme Herb (Der 1:2-2
624,5)
624,Extraction Solvents: Ammonia Solution 10 % (M/M)
624,Glycerol 85%
624,Ethanol 90%
624,Water (1:20:70:109)
625,Dry Extract Of Thyme (7-13:1)
625,Extraction Solvent: Water
625,Liquid Extract From Marshmallow Root (Der 1:12-14)
625,Extraction Solvent: Water
626,Dry Extract Of Marshmallow Root (Der 7-9:1)
626,Extraction Solvent Water
626,Dry Extract Of Thyme (7-13:1)
626,Extraction Solvent: Water
627,Guaifenesin
627,Paracetamol
627,Phenylephrine
628,Bromhexine Hydrochloride
629,Lyophilized Bacterial Lysates Of: Haemophilus Influenzae Streptococcus (Diplococcus) Pneumoniae Klebsiella Pneumoniae And Ozaenae Staphylococcus Aureus Streptococcus Pyogenes And Viridans Moraxella (Branhamella / Neisseria) Catarrhalis
630,Ambroxol Hydrochloride
631,Ambroxol Hydrochloride
632,Ambroxol Hydrochloride
633,Formoterol Fumarate
634,Ipratropium Bromide
635,Bromhexine Hydrochloride
636,Meloxicam
637,Meloxicam
638,Vortioxetine
639,Amikacin Sulfate
640,Ibuprofen
641,Ibuprofen
642,Ibuprofen
642,Codeine Phosphate Hemihydrate
643,Amikacin
644,Amikacin Sulfate
645,Calcium Folinate
646,Budesonide
647,Budesonide
648,Budesonide
649,Budesonide
650,Budesonide
651,Budesonide
652,Budesonide
653,Budesonide
654,Budesonide
655,Budesonide
656,Budesonide
657,Budesonide
658,Budesonide
659,Budesonide
660,Budesonide
661,Budesonide
662,Budesonide
663,Enalapril Maleate
663,Hydrochlorothiazide
664,Ambroxol Hydrochloride
665,Buprenorphine
666,Bumetanide
667,Bumetanide
668,Ibuprofen
668,Caffeine
669,Hyoscine Butylbromide
670,Paracetamol
670,Hyoscine Butylbromide
671,Butamirate Citrate
672,Clobetasol Propionate
