+-----------------+----------------+----------+-----------------------------------+------------------+-----------------+------------------+---------------+
| department_name | admission_year | ken_code | insurance_provider                | total_admissions | total_base_cost | total_extra_cost | total_revenue |
+-----------------+----------------+----------+-----------------------------------+------------------+-----------------+------------------+---------------+
| Aimatologiko    |           2026 | Τ04Α     | Ιδιωτική Ασφάλεια                 |                1 |        11997.00 |             0.00 |      11997.00 |
| Aimatologiko    |           2026 | Φ22Μ     | Ιδιωτική Ασφάλεια                 |                1 |         2357.00 |          4162.52 |       6519.52 |
| Aimatologiko    |           2026 | Ω02Μα    | ΕΦΚΑ                              |                1 |         5420.00 |           985.76 |       6405.76 |
| Aimatologiko    |           2026 | Σ03Μ     | ΕΦΚΑ                              |                1 |         6097.00 |             0.00 |       6097.00 |
| Aimatologiko    |           2026 | Δ27Χ     | ΕΦΚΑ                              |                1 |          199.00 |          5831.88 |       6030.88 |
| Aimatologiko    |           2026 | Ε11Χ     | Ιδιωτική Ασφάλεια                 |                1 |         5302.00 |           220.52 |       5522.52 |
| Aimatologiko    |           2026 | Ζ21Α     | ΕΦΚΑ                              |                1 |          848.00 |          3821.58 |       4669.58 |
| Aimatologiko    |           2026 | Ν41Χ     | Ιδιωτική Ασφάλεια                 |                1 |          693.00 |          3705.91 |       4398.91 |
| Aimatologiko    |           2026 | Π44Χ     | Ιδιωτική Ασφάλεια                 |                1 |         1073.00 |          3124.44 |       4197.44 |
| Aimatologiko    |           2026 | Ν30Χ     | ΕΦΚΑ                              |                1 |         1191.00 |          2423.34 |       3614.34 |
| Aimatologiko    |           2026 | Θ05Μ     | Ιδιωτική Ασφάλεια                 |                1 |         2587.00 |           791.70 |       3378.70 |
| Aimatologiko    |           2026 | Α30Μ     | ΕΦΚΑ                              |                1 |         1331.00 |          1819.79 |       3150.79 |
| Aimatologiko    |           2026 | Υ04Χα    | ΕΦΚΑ                              |                1 |         2361.00 |           781.05 |       3142.05 |
| Aimatologiko    |           2026 | Μ13Χ     | Ανασφάλιστος                      |                1 |         2083.00 |          1018.08 |       3101.08 |
| Aimatologiko    |           2026 | Χ41Α     | ΕΦΚΑ                              |                1 |         3066.00 |             0.00 |       3066.00 |
