+-----------------+----------------+----------+--------------------+------------------+-----------------+------------------+---------------+
| department_name | admission_year | ken_code | insurance_provider | total_admissions | total_base_cost | total_extra_cost | total_revenue |
+-----------------+----------------+----------+--------------------+------------------+-----------------+------------------+---------------+
| Aimatologiko    |           2026 | Τ06Μ     | Interamerican      |                1 |        15128.00 |             0.00 |      15128.00 |
| Aimatologiko    |           2026 | Κ04Χ     | EOPYY              |                1 |         9163.00 |          3636.75 |      12799.75 |
| Aimatologiko    |           2026 | Κ03Χ     | EOPYY              |                1 |        11734.00 |           258.22 |      11992.22 |
| Aimatologiko    |           2026 | Κ05Μ     | Allianz            |                1 |        10023.00 |             0.00 |      10023.00 |
| Aimatologiko    |           2026 | Θ01Μ     | MetLife            |                1 |         6202.00 |             0.00 |       6202.00 |
| Aimatologiko    |           2026 | Α10Χ     | EOPYY              |                1 |         4627.00 |          1060.44 |       5687.44 |
| Aimatologiko    |           2026 | Ε08Χ     | EOPYY              |                1 |         3683.00 |           120.92 |       3803.92 |
| Aimatologiko    |           2026 | Θ05Μ     | Interamerican      |                1 |         2587.00 |           791.70 |       3378.70 |
| Aimatologiko    |           2026 | Ξ02Χ     | Interamerican      |                1 |          781.00 |          2472.57 |       3253.57 |
| Aimatologiko    |           2026 | Ν32Μ     | MetLife            |                1 |         3175.00 |             0.00 |       3175.00 |
| Aimatologiko    |           2026 | Δ13Μ     | Uninsured          |                1 |         2856.00 |             0.00 |       2856.00 |
| Aimatologiko    |           2026 | Ν41Μ     | Allianz            |                1 |         1837.00 |           886.84 |       2723.84 |
| Aimatologiko    |           2026 | Α30Μ     | EOPYY              |                1 |         1331.00 |          1299.85 |       2630.85 |
| Aimatologiko    |           2026 | Κ43Μ     | Eurolife           |                1 |         1471.00 |           782.74 |       2253.74 |
| Aimatologiko    |           2026 | Α25Μ     | EOPYY              |                1 |         1766.00 |           477.62 |       2243.62 |
| Aimatologiko    |           2026 | Λ21Α     | Interamerican      |                1 |          420.00 |          1634.88 |       2054.88 |
| Aimatologiko    |           2026 | Η44Χ     | MetLife            |                1 |          436.00 |          1438.60 |       1874.60 |
| Aimatologiko    |           2026 | Π10Μ     | EOPYY              |                1 |         1697.00 |             0.00 |       1697.00 |
