+------------------------------------------------------------------------------------------------------+-------------------+------------------+
| substance                                                                                            | allergic_patients | drugs_containing |
+------------------------------------------------------------------------------------------------------+-------------------+------------------+
| Hydroxocobalamin                                                                                     |                 3 |                2 |
| Human Plasma Protein                                                                                 |                 2 |                2 |
| Ampicillin Sodium                                                                                    |                 2 |                1 |
| Chlordiazepoxide Hydrochloride                                                                       |                 2 |                1 |
| Diclofenac                                                                                           |                 2 |                1 |
| Trandolapril                                                                                         |                 2 |                3 |
| Paclitaxel                                                                                           |                 2 |                6 |
| Fusidic Acid                                                                                         |                 2 |                6 |
| Lutetium (177lu) Zadavotide Guraxetan                                                                |                 2 |                1 |
| Fluorocholine (18f)                                                                                  |                 1 |                1 |
| Orphenadrine Hydrochloride                                                                           |                 1 |                1 |
| Roflumilast                                                                                          |                 1 |                1 |
| Amiloride Hydrochloride, Hydrochlorothiazide                                                         |                 1 |                1 |
| Simeticone, Magnesium Hydroxide, Aluminium Hydroxide                                                 |                 1 |                1 |
| Magnesium Sulfate Heptahydrate, Sodium Sulfate Anhydrous, Potassium Sulphate                         |                 1 |                1 |
| Mesna                                                                                                |                 1 |                2 |
| Sildenafil Citrate                                                                                   |                 1 |                3 |
| Sodium Hydrogen Carbonate, Tartaric Acid                                                             |                 1 |                1 |
| Valproic Acid, Sodium Valproate                                                                      |                 1 |                2 |
| Hydrochlorothiazide, Ramipril, Amlodipine Besilate                                                   |                 1 |                1 |
| Omeprazole Sodium                                                                                    |                 1 |               12 |
| Metyrapone                                                                                           |                 1 |                1 |
| Dexmedetomidine Hydrochloride                                                                        |                 1 |                3 |
| Tenofovir Disoproxil                                                                                 |                 1 |                3 |
| Acetazolamide                                                                                        |                 1 |                1 |
| Aluminium Phosphate, Diphtheria Toxoid Adsorbed On Aluminium Hydroxide, Hydrated And Aluminium Phosp |                 1 |                3 |
| Paracetamol, Caffeine                                                                                |                 1 |                4 |
| Fludrocortisone Acetate                                                                              |                 1 |                1 |
| Magnesium Citrate, Magnesium Oxide                                                                   |                 1 |                2 |
| Topotecan Hydrochloride                                                                              |                 1 |                1 |
| Bromhexine Hydrochloride                                                                             |                 1 |                4 |
| Betamethasone Dipropionate, Gentamicin                                                               |                 1 |                1 |
| Olive Oil, Refined, Soya-Bean Oil Refined, Triglycerides, Medium Chain, Fish Oil, Rich In Omega-3-Ac |                 1 |                1 |
| Fluticasone Propionate, Salmeterol Xinafoate                                                         |                 1 |                1 |
| Dexamethasone Sodium Phosphate                                                                       |                 1 |                7 |
| Human Hepatitis B Immunoglobulin                                                                     |                 1 |                2 |
| Chondroitin Sulfate Sodium                                                                           |                 1 |                1 |
| Alendronic Acid                                                                                      |                 1 |                9 |
| Brinzolamide                                                                                         |                 1 |                2 |
| Digoxin                                                                                              |                 1 |                2 |
| Cholecalciferol Concentrate (Powder Form)                                                            |                 1 |                1 |
| Pneumococcal Polysaccharide Serotype 4, Pneumococcal Polysaccharide Serotype 6b, Pneumococcal Polysa |                 1 |                1 |
| Tetracaine Hydrochloride                                                                             |                 1 |                1 |
| Metformin Hydrochloride, Sitagliptin Hydrochloride                                                   |                 1 |                1 |
| Sodium Picosulfate                                                                                   |                 1 |                1 |
| Naproxen Sodium, Sumatriptan Succinate                                                               |                 1 |                1 |
| Benzocaine, Cetylpyridinium Chloride                                                                 |                 1 |                1 |
| Furosemide Sodium                                                                                    |                 1 |                2 |
| Captopril, Hydrochlorothiazide                                                                       |                 1 |                7 |
| Piroxicam                                                                                            |                 1 |                5 |
| Magnesium, Sodium Ion, Chloride Ion, Hydrogen Phosphate, Hydrogen Carbonate, Potassium Ion           |                 1 |                1 |
| Piperacillin, Tazobactam                                                                             |                 1 |                7 |
| Zoledronic Acid                                                                                      |                 1 |                1 |
| Rivastigmine                                                                                         |                 1 |               11 |
| Micafungin Sodium                                                                                    |                 1 |                1 |
| Nitrendipine                                                                                         |                 1 |                2 |
| Mycophenolic Acid                                                                                    |                 1 |                1 |
| Temozolomide                                                                                         |                 1 |                1 |
| Aluminium Oxide, Magnesium Hydroxide                                                                 |                 1 |                1 |
| Metoprolol Succinate, Felodipine                                                                     |                 1 |                1 |
