+-----------------+------------+--------------+-------------+---------------------------+-------------+
| department_name | date       | shift        | staff_type  | role                      | staff_count |
+-----------------+------------+--------------+-------------+---------------------------+-------------+
| Aimatologiko    | 2026-05-11 | απογευματινή | Διοικητικός | Υπεύθυνος Προμηθειών      |           1 |
| Aimatologiko    | 2026-05-11 | απογευματινή | Νοσηλευτής  | Βοηθός Νοσηλευτή          |           2 |
| Aimatologiko    | 2026-05-11 | απογευματινή | Ιατρός      | Psychiatry                |           1 |
| Aimatologiko    | 2026-05-11 | απογευματινή | Ιατρός      | Internal Medicine         |           1 |
| Aimatologiko    | 2026-05-11 | απογευματινή | Ιατρός      | Emergency Medicine        |           1 |
| Aimatologiko    | 2026-05-11 | απογευματινή | Νοσηλευτής  | Προϊστάμενος              |           2 |
| Aimatologiko    | 2026-05-11 | απογευματινή | Διοικητικός | Λογιστής                  |           1 |
| Aimatologiko    | 2026-05-11 | απογευματινή | Νοσηλευτής  | Νοσηλευτής                |           2 |
| Aimatologiko    | 2026-05-11 | νυχτερινή    | Ιατρός      | Neurology                 |           1 |
| Aimatologiko    | 2026-05-11 | νυχτερινή    | Νοσηλευτής  | Βοηθός Νοσηλευτή          |           4 |
| Aimatologiko    | 2026-05-11 | νυχτερινή    | Διοικητικός | Ρεσεψιονίστ               |           1 |
| Aimatologiko    | 2026-05-11 | νυχτερινή    | Ιατρός      | Anesthesiology            |           1 |
| Aimatologiko    | 2026-05-11 | νυχτερινή    | Νοσηλευτής  | Νοσηλευτής                |           2 |
| Aimatologiko    | 2026-05-11 | νυχτερινή    | Διοικητικός | Γραμματέας Τμήματος       |           1 |
| Aimatologiko    | 2026-05-11 | νυχτερινή    | Ιατρός      | Internal Medicine         |           1 |
| Aimatologiko    | 2026-05-11 | πρωινή       | Ιατρός      | Psychiatry                |           1 |
| Aimatologiko    | 2026-05-11 | πρωινή       | Νοσηλευτής  | Βοηθός Νοσηλευτή          |           3 |
| Aimatologiko    | 2026-05-11 | πρωινή       | Διοικητικός | Λογιστής                  |           1 |
| Aimatologiko    | 2026-05-11 | πρωινή       | Διοικητικός | Γραμματέας Τμήματος       |           1 |
| Aimatologiko    | 2026-05-11 | πρωινή       | Ιατρός      | Internal Medicine         |           1 |
| Aimatologiko    | 2026-05-11 | πρωινή       | Ιατρός      | Pediatrics                |           1 |
| Aimatologiko    | 2026-05-11 | πρωινή       | Νοσηλευτής  | Νοσηλευτής                |           2 |
| Aimatologiko    | 2026-05-11 | πρωινή       | Νοσηλευτής  | Προϊστάμενος              |           1 |
| Cheirourgiko    | 2026-05-11 | απογευματινή | Νοσηλευτής  | Βοηθός Νοσηλευτή          |           3 |
| Cheirourgiko    | 2026-05-11 | απογευματινή | Ιατρός      | Surgery                   |           1 |
| Cheirourgiko    | 2026-05-11 | απογευματινή | Διοικητικός | Υπάλληλος IT              |           1 |
| Cheirourgiko    | 2026-05-11 | απογευματινή | Νοσηλευτής  | Νοσηλευτής                |           3 |
| Cheirourgiko    | 2026-05-11 | απογευματινή | Διοικητικός | Υπεύθυνος Προμηθειών      |           1 |
| Cheirourgiko    | 2026-05-11 | απογευματινή | Ιατρός      | Radiology                 |           1 |
| Cheirourgiko    | 2026-05-11 | απογευματινή | Ιατρός      | Psychiatry                |           1 |
| Cheirourgiko    | 2026-05-11 | νυχτερινή    | Ιατρός      | Orthopedics               |           1 |
| Cheirourgiko    | 2026-05-11 | νυχτερινή    | Διοικητικός | Λογιστής                  |           1 |
